original_order,key_name,sample,source,display_name,display_section,disp_sect_summary,format,format_cd,help,info_link,
25,INCOME_AMT,0,bmf,Income Amount,IRS Business Master File,,currency,,"Income Amount is a computer generated amount from the most recent Form 990 series return filed by the organization. Income Amount is computer generated using Part VIII, Line 1h(A), Contributions/Gifts; plus Part VIII, Line 2g(A), Program Revenue; plus Part VIII, Line 3(A), Investment Income; plus Part VIII, Line 4(A), Tax Exempt Bonds proceeds; plus Part VIII, Line 5(A), Royalties Income; plus Part VIII, Line 6d(A), Rental Income computer generated; plus Part VIII, Line 7d(A), Net Gain/Loss amount; plus Part VIII, Line 8c(A), Net Fundraising amount computer generated; plus Part VIII, Line 9c(A), Net Gaming amount computer generated; plus Part VIII, Line 10c(A), Net Inventory Sales computer generated; plus Part VIII, Line 11e(A), Miscellaneous Revenue. This field is dollars only.  On Form 990-EZ, Income Amount is a computer generated amount using Part 1, Line 1, Total Contributions/Gifts; plus Part I, Line 2, Program Services amount; plus Part 1, Line 2, Dues and Assessments; plus Part I, Line 4, Investment Income; plus Part I, Line 5c, Sale of Assets; plus Part I, Line 6c, Net Income fundraising; plus, Part I, Line 7c, Gross Profit computer generated; plus, Part I, Line 8, Other Revenue. This field is dollars only.",,
26,REVENUE_AMT,0,bmf,Revenue Amount,IRS Business Master File,,currency,,"This is the amount from Part VIII, Line 12(A) for Form 990 or Part 1, Line 9 for Form 990-EZ. This field is dollars only.",,
27,NTEE_CD,Q30,bmf,NTEE Code,IRS Business Master File,,,,get formal def for ntee,,
28,SORT_NAME,,bmf,,IRS Business Master File,,,,,,
29,p_org_id,49916,bmf,app_id,IRS Business Master File,,,,ID used by app when processing,,
30,ntee_cat,"(Q) International, Foreign Affairs & National Security",bmf,NTEE Category,IRS Business Master File,,,,NTEE General Category,,
31,ntee_define,"Organizations whose primary purpose is to provide technical assistance training and material resources to support the capacity-building efforts of nations outside the U. S. with a focus on agricultural and rural development, health, education, social welfare, small business development and industrial growth. Use this code for organizations that provide a wide range of international development and/or relief services or those not specified below.",bmf,NTEE Description,IRS Business Master File,,,,NTEE Category,,
32,CLASS1,1,bmf,Classification Cd 1,bmf,,,,,,
33,CLASS2,0,bmf,Classification Cd 2,bmf,,,,,,
34,CLASS3,0,bmf,Classification Cd 3,bmf,,,,,,
35,CLASS4,0,bmf,Classification Cd 4,bmf,,,,,,
36,ACT1,0,bmf,Activity Cd 1,bmf,,,,,,
37,ACT2,0,bmf,Activity Cd 2,bmf,,,,,,
38,ACT3,0,bmf,Activity Cd 3,bmf,,,,,,
39,act1_lu,na,bmf,Activity 1,bmf,,,,,,
40,act2_lu,na,bmf,Activity 2,bmf,,,,,,
41,act3_lu,na,bmf,Activity 3,bmf,,,,,,
42,RULE_DT,2008-05-01,bmf,IRS Ruling Dt,bmf,,,,,,
43,aff_lu,"Independent - This code is used if the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",bmf,Affiliation,bmf,,,,,,
44,org_lu,Corporation,bmf,Organization Type,bmf,,,,,,
45,found_lu,Organization which receives a substantial part of its support from a governmental unit or the general public,bmf,Websearch Name,bmf,,,,,,
46,filename,,Form 990x,Name of IRS Form 990x file in XML,Form 990x,,,,,,
47,IRS_Form,,Form 990x,IRS Tax Form Used,Form 990x,,,,,,
48,TaxPeriodEndDt,,Form 990x,Tax Period End Dt,Form 990x,,,,,,
49,TaxPeriodBeginDt,,Form 990x,Tax Period Begin Dt,Form 990x,,,,,,
50,TaxYr,,Form 990x,Tax Yr,Form 990x,,,,,,
51,ReturnTypeCd,,Form 990x,IRS Form Return Type Cd,Form 990x,,,,,,
52,PhoneNum,,Form 990x,Phone,Form 990x,,,,,,
53,BusinessNameLine1Txt,,Form 990x,Business Name,Form 990x,,,,,,
54,AddressLine1Txt,,Form 990x,Address Line 1,Form 990x,,,,,,
55,AddressLine2Txt,,Form 990x,AddressLine2Txt,Form 990x,,,,,,
56,CityNm,,Form 990x,City,Form 990x,,,,,,
57,StateAbbreviationCd,,Form 990x,State,Form 990x,,,,,,
58,ZIPCd,,Form 990x,Zip,Form 990x,,,,,,
59,CountryCd,,Form 990x,Country,Form 990x,,,,,,
60,ProvinceOrStateNm,,Form 990x,Province-State,Form 990x,,,,,,
61,ForeignPostalCd,,Form 990x,ForeignPostalCd,Form 990x,,,,,,
